Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
1.29E+07,caps hf  0 0 2 34,-5.39E-01,9.90E-02,2.52E-01,7.57E-01,2.52E-01,7.57E-01,-4.72E-01,2.52E-01
1.29E+07,caps hf  0 0 2 35,-5.39E-01,9.87E-02,2.53E-01,7.57E-01,2.52E-01,7.57E-01,-4.71E-01,2.53E-01
1.29E+07,caps hf  0 0 2 36,-5.39E-01,9.83E-02,2.54E-01,7.57E-01,2.53E-01,7.57E-01,-4.71E-01,2.54E-01
1.29E+07,caps hf  0 0 2 37,-5.39E-01,9.80E-02,2.54E-01,7.57E-01,2.54E-01,7.57E-01,-4.70E-01,2.55E-01
1.29E+07,caps hf  0 0 2 38,-5.39E-01,9.77E-02,2.55E-01,7.56E-01,2.54E-01,7.57E-01,-4.70E-01,2.56E-01
1.29E+07,caps hf  0 0 2 39,-5.39E-01,9.74E-02,2.55E-01,7.56E-01,2.55E-01,7.56E-01,-4.69E-01,2.57E-01
1.29E+07,caps hf  0 0 2 40,-5.39E-01,9.71E-02,2.56E-01,7.56E-01,2.55E-01,7.56E-01,-4.68E-01,2.58E-01
1.29E+07,caps hf  0 0 2 41,-5.40E-01,9.68E-02,2.56E-01,7.56E-01,2.56E-01,7.56E-01,-4.68E-01,2.59E-01
1.29E+07,caps hf  0 0 2 42,-5.40E-01,9.65E-02,2.57E-01,7.56E-01,2.56E-01,7.56E-01,-4.67E-01,2.61E-01
1.29E+07,caps hf  0 0 2 43,-5.40E-01,9.62E-02,2.58E-01,7.55E-01,2.57E-01,7.56E-01,-4.67E-01,2.62E-01
1.29E+07,caps hf  0 0 2 44,-5.40E-01,9.59E-02,2.58E-01,7.55E-01,2.57E-01,7.55E-01,-4.66E-01,2.63E-01
1.29E+07,caps hf  0 0 2 45,-5.40E-01,9.56E-02,2.59E-01,7.55E-01,2.58E-01,7.55E-01,-4.65E-01,2.64E-01
1.29E+07,caps hf  0 0 2 46,-5.40E-01,9.52E-02,2.59E-01,7.55E-01,2.58E-01,7.55E-01,-4.65E-01,2.65E-01
